platform,content_type,content_topic,creator_category,post_hour,day_of_week,is_weekend,is_peak_time,caption_length,hashtag_count,mention_count,emoji_count,has_call_to_action,uses_trending_audio,carousel_slides,video_duration_sec,media_quality_score,sentiment_score_caption,followers_count,audience_active_percent,avg_past_engagement,posting_frequency_per_week,account_age_days,is_paid_promotion,ad_spend_usd,collaboration_flag,engagement_score
Facebook,Text,Entertainment,Business,5,4,0,0,76,8,0,1,1,0,1,0,7.56,-0.063,9441,31.03,702.31,5.9,938,0,0.0,0,797.05
Instagram,Reel,News,Personal Brand,4,1,0,0,315,7,1,1,0,1,1,30,4.42,0.184,7137,61.37,748.11,1.4,636,1,89.38,0,953.34
Instagram,Reel,Education,Educator,2,5,1,0,87,9,0,4,1,0,1,24,6.91,-0.036,6831,65.03,32.06,3.2,1247,0,0.0,0,1011.13
Instagram,Reel,Motivation,Media,17,0,0,0,265,4,1,1,1,0,1,33,6.0,0.112,4710,60.02,755.05,1.2,1211,0,0.0,0,925.88
Instagram,Video,Motivation,Personal Brand,4,2,0,0,201,3,3,4,0,0,1,27,6.85,0.505,54499,16.0,820.17,2.0,139,0,0.0,0,787.08
X,Text,Product,Influencer,5,5,1,0,112,7,0,2,0,0,1,0,10.0,-0.179,36598,47.48,1020.4,2.1,1637,0,0.0,0,1019.67
X,Text,Entertainment,Educator,23,1,0,0,257,4,2,1,1,0,1,0,7.12,0.27,58008,35.62,498.36,3.1,197,0,0.0,0,898.43
Instagram,Carousel,Behind-the-scenes,Business,19,2,0,1,106,5,0,1,0,0,4,0,5.3,-0.48,46557,53.24,1295.57,7.9,1027,0,0.0,1,1035.87
X,Image,News,Business,7,0,0,0,157,12,1,2,1,0,1,0,6.91,-0.445,10915,45.0,1188.02,7.6,893,0,0.0,0,899.6
X,Image,Behind-the-scenes,Influencer,6,2,0,0,114,14,1,2,0,0,1,0,10.0,-0.59,103943,49.49,1397.07,4.2,1010,0,0.0,0,1182.05
YouTube Shorts,Video,Behind-the-scenes,Influencer,2,6,1,0,80,5,0,1,1,1,1,20,6.38,0.519,57037,52.97,257.33,4.1,1144,0,0.0,0,1037.47
Instagram,Reel,Motivation,Business,14,6,1,0,196,6,4,6,1,1,1,38,7.61,0.068,53581,36.36,274.24,4.1,1042,0,0.0,1,973.74
